Code,Release Date,Title,,Domestic Gross,,Runtime,Genre,,,,,,,,,,,
6148,17-Jan-14,Ride Along,,134900000,,87,Action/Adventure,,,,,,,,,,,
6409,2-Feb-18,Bilal: A New Breed of Hero,,491000,,105,Action/Adventure,,,,,Mean Gross of Each Genre,,,,,,
5827,25-Dec-15,The Revenant,,183600000,,156,Action/Adventure,,,,,,,,,,,
5804,15-Feb-10,Centurion,,124000,,97,Action/Adventure,,,Action/Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Horror,Thriller
5839,3-Nov-11,Black Death,,22600,,102,Action/Adventure,,,104408700,164227272.7,1305485,21243654.05,24246084.62,9299666.611,6658330.744,14601533.33,37793035.71
5919,8-Jul-15,Fantastic Four,,56100000,,100,Action/Adventure,,,,,,,,,,,
5844,11-Apr-16,Doctor Strange,,232600000,,115,Action/Adventure,,,,,,,,,,,
5889,15-May-15,Mad Max: Fury Road,,153600000,,120,Action/Adventure,,,,,,,,,,,
5974,24-Jun-16,Independence Day: Resurgence,,103100000,,120,Action/Adventure,,,,,,,,,,,
6099,18-Jan-11,Black Panther,,700100000,,134,Action/Adventure,,,,,,,,,,,
6282,7-Jul-17,Spider-Man: Homecoming,,334200000,,133,Action/Adventure,,,,,,,,,,,
6095,26-Aug-16,Hands of Stone,,4700000,,111,Action/Adventure,,,,,,,,,,,
5788,21-Apr-17,Free Fire,,1800000,,91,Action/Adventure,,,,,,,,,,,
6082,30-Oct-15,Scouts Guide to the Zombie Apocalypse,,3700000,,93,Action/Adventure,,,,,,,,,,,
6107,16-Mar-12,Juan of the Dead,,18000,,92,Action/Adventure,,,,,,,,,,,
5959,10-Feb-13,Besharam,,680000,,143,Action/Adventure,,,,,,,,,,,
5940,29-Jul-11,Point Blank,,708000,,81,Action/Adventure,,,,,,,,,,,
6281,20-Apr-18,Traffik,,9200000,,96,Action/Adventure,,,,,,,,,,,
6310,14-May-10,Robin Hood,,105300000,,92,Action/Adventure,,,,,,,,,,,
5888,19-Jul-17,Dunkirk,,188000000,,106,Action/Adventure,,,,,,,,,,,
6049,18-Mar-16,Midnight Special,,3700000,,112,Action/Adventure,,,,,,,,,,,
5939,8-Sep-13,Elysium,,93100000,,109,Action/Adventure,,,,,,,,,,,
6480,6-Aug-18,Hotel Artemis,,6700000,,94,Action/Adventure,,,,,,,,,,,
5805,12-Mar-10,The Warrior's Way,,5700000,,100,Action/Adventure,,,,,,,,,,,
