id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Net gain
6,18-Dec-15,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,1747311220
1,18-Dec-09,Avatar,425000000,760507625,2776345279,2351345279
42,16-Feb-18,Black Panther,200000000,700059566,1348258224,1148258224
7,27-Apr-18,Avengers: Infinity War,300000000,678815482,2048134200,1748134200
43,19-Dec-97,Titanic,200000000,659363944,2208208395,2008208395
34,12-Jun-15,Jurassic World,215000000,652270625,1648854864,1433854864
27,4-May-12,The Avengers,225000000,623279547,1517935897,1292935897
5,15-Dec-17,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,999721747
44,15-Jun-18,Incredibles 2,200000000,608581744,1242520711,1042520711
75,18-Jul-08,The Dark Knight,185000000,533720947,1001996207,816996207
