id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Net gain
1,18-Dec-09,Avatar,425000000,760507625,2776345279,2351345279
2,20-May-11,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,635063875
3,7-Jun-19,Dark Phoenix,350000000,42762350,149762350,-200237650
4,1-May-15,Avengers: Age of Ultron,330600000,459005868,1403013963,1072413963
5,15-Dec-17,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,999721747
6,18-Dec-15,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,1747311220
7,27-Apr-18,Avengers: Infinity War,300000000,678815482,2048134200,1748134200
8,24-May-07,Pirates of the Caribbean: At World's End,300000000,309420425,963420425,663420425
9,17-Nov-17,Justice League,300000000,229024295,655945209,355945209
10,6-Nov-15,Spectre,300000000,200074175,879620923,579620923
11,20-Jul-12,The Dark Knight Rises,275000000,448139099,1084439099,809439099
